"8.125 in HIGH x 6.875 in WIDE x 1 in DEEP(20.64 cm HIGH x 17.46 cm WIDE x 2.54 cm DEEP)","1"
"36 in HIGH x 30 in WIDE x 1 in DEEP(91.44 cm HIGH x 76.20 cm WIDE x 2.54 cm DEEP)","1"
"60 in HIGH x 72 in WIDE x 1.75 in DEEP(152.40 cm HIGH x 182.88 cm WIDE x 4.44 cm DEEP)","1.75"
"20 in HIGH x 14 in WIDE x 1 in DEEP(50.80 cm HIGH x 35.56 cm WIDE x 2.54 cm DEEP)","1"
"20 in HIGH x 26 in WIDE x 1.25 in DEEP(50.80 cm HIGH x 66.04 cm WIDE x 3.17 cm DEEP)","1.25"
"29 in HIGH x 41 in WIDE x 1 in DEEP(73.66 cm HIGH x 104.14 cm WIDE x 2.54 cm DEEP)","1"
"72 in HIGH x 96 in WIDE x 2 in DEEP(182.88 cm HIGH x 243.84 cm WIDE x 5.08 cm DEEP)","2"
"48 in HIGH x 54 in WIDE x 2.375 in DEEP(121.92 cm HIGH x 137.16 cm WIDE x 6.03 cm DEEP)","2.375"
"50.5 in HIGH x 72 in WIDE x 2.25 in DEEP(128.27 cm HIGH x 182.88 cm WIDE x 5.71 cm DEEP)","2.25"
"61.125 in HIGH x 41 in WIDE x 1.125 in DEEP(155.26 cm HIGH x 104.14 cm WIDE x 2.86 cm DEEP)","1.125"
"43.75 in HIGH x 29.5 in WIDE x 1.125 in DEEP(111.12 cm HIGH x 74.93 cm WIDE x 2.86 cm DEEP)","1.125"
"61 in HIGH x 52 in WIDE x 1.5 in DEEP(154.94 cm HIGH x 132.08 cm WIDE x 3.81 cm DEEP)","1.5"
"48.25 in HIGH x 57 in WIDE x 2.25 in DEEP(122.55 cm HIGH x 144.78 cm WIDE x 5.71 cm DEEP)","2.25"
"64.75 in HIGH x 58 in WIDE x 1.5 in DEEP(164.46 cm HIGH x 147.32 cm WIDE x 3.81 cm DEEP)","1.5"
